file,count,w,w_list,st,build,prop,ub
sysadmin_inst_pomdp_4_s=20_t=5,sysadmin_inst_pomdp_4_s=20_t=5,200,"[200, 160, 120, 80, 40]",2568.8707649707794,4510.182057857513,33.18386888504028,195.1519759234634
sysadmin_inst_pomdp_4_s=20_t=6,sysadmin_inst_pomdp_4_s=20_t=6,240,"[240, 200, 160, 120, 80, 40]",5832.069253206253,9947.08671426773,44.82956075668335,273.9130257016202
sysadmin_inst_pomdp_4_s=20_t=7,sysadmin_inst_pomdp_4_s=20_t=7,280,"[280, 240, 200, 160, 120, 80, 40]",11569.553032159805,19252.961379766464,53.72866940498352,369.29361371437403
sysadmin_inst_pomdp_4_s=20_t=8,sysadmin_inst_pomdp_4_s=20_t=8,320,"[320, 280, 240, 200, 160, 120, 80, 40]",20592.196774959564,35109.61557006836,73.36625361442566,477.1136152939838
sysadmin_inst_pomdp_4_s=20_t=9,sysadmin_inst_pomdp_4_s=20_t=9,360,"[360, 320, 280, 240, 200, 160, 120, 80, 40]",35485.04728937149,58822.539536476135,93.47824120521545,600.0725556760393
sysadmin_inst_pomdp_5_s=30_t=3,sysadmin_inst_pomdp_5_s=30_t=3,180,"[180, 120, 60]",1470.4802606105804,1424.3506560325623,15.868045091629028,114.99041125101992
sysadmin_inst_pomdp_5_s=30_t=4,sysadmin_inst_pomdp_5_s=30_t=4,240,"[240, 180, 120, 60]",5046.910469293594,4150.978806018829,25.270302057266235,185.19657726578043
sysadmin_inst_pomdp_5_s=30_t=5,sysadmin_inst_pomdp_5_s=30_t=5,300,"[300, 240, 180, 120, 60]",13654.935981988907,20008.386450767517,33.04177713394165,265.6363589978404
sysadmin_inst_pomdp_5_s=30_t=6,sysadmin_inst_pomdp_5_s=30_t=6,360,"[360, 300, 240, 180, 120, 60]",31756.877816677094,34884.276087999344,46.851773262023926,373.51864080008704
sysadmin_inst_pomdp_6_s=30_t=3,sysadmin_inst_pomdp_6_s=30_t=3,180,"[180, 120, 60]",1467.4998388290405,2345.195558786392,20.050124645233154,123.54808929648505
sysadmin_inst_pomdp_6_s=30_t=4,sysadmin_inst_pomdp_6_s=30_t=4,240,"[240, 180, 120, 60]",5270.552553653717,7937.840644598007,33.97463250160217,200.04494535851617
sysadmin_inst_pomdp_6_s=30_t=5,sysadmin_inst_pomdp_6_s=30_t=5,300,"[300, 240, 180, 120, 60]",13840.313210725784,20548.863708019257,47.776578187942505,293.68836900571887
sysadmin_inst_pomdp_6_s=30_t=6,sysadmin_inst_pomdp_6_s=30_t=6,360,"[360, 300, 240, 180, 120, 60]",31843.60226559639,46903.877073287964,68.95464181900024,427.1871969980683
sysadmin_inst_pomdp_7_s=40_t=3,sysadmin_inst_pomdp_7_s=40_t=3,240,"[240, 160, 80]",4411.318741798401,5442.734902620316,19.215678930282593,152.57665957537293
sysadmin_inst_pomdp_7_s=40_t=4,sysadmin_inst_pomdp_7_s=40_t=4,320,"[320, 240, 160, 80]",16459.07682943344,20707.463279008865,34.858909130096436,247.50873580785697
sysadmin_inst_pomdp_8_s=40_t=3,sysadmin_inst_pomdp_8_s=40_t=3,240,"[240, 160, 80]",4471.654934644699,6980.466681480408,28.334421396255493,167.2309072606596
sysadmin_inst_pomdp_8_s=40_t=4,sysadmin_inst_pomdp_8_s=40_t=4,320,"[320, 240, 160, 80]",16644.59109044075,23748.706161260605,43.804574489593506,264.10148149877614
sysadmin_inst_pomdp_9_s=50_t=3,sysadmin_inst_pomdp_9_s=50_t=3,300,"[300, 200, 100]",10917.502440452576,14091.73840045929,29.8215970993042,194.6939032028906
sysadmin_inst_pomdp_9_s=50_t=4,sysadmin_inst_pomdp_9_s=50_t=4,400,"[400, 300, 200, 100]",42402.03200340271,48447.46664643288,46.65921664237976,313.2509590816922
